# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-07-25 12:00:00,EP062026,-1,2026-07-25 12:00:00,0 days 00:00:00,0,19.0,-135.9,971.0,86.0,37.0,334.0,241.0,185.0,334.0,111.0,74.0,74.0,130.0,56.0,37.0,28.0,65.0
2026-07-25 12:00:00,EP062026,-1,2026-07-25 18:00:00,0 days 06:00:00,6,19.15,-136.85,979.1,75.8,37.79404412422677,216.73344221730662,173.62399071351226,133.88029191229506,186.34152091223305,97.037106211091,76.79146406934488,56.006654273177176,80.99515179703883,46.31659179961109,29.19620346281373,22.230103265016105,30.097567855808403
2026-07-25 12:00:00,EP062026,-1,2026-07-26 00:00:00,0 days 12:00:00,12,19.43,-138.02,981.6,73.7,38.96759586612482,233.4821122176823,183.85205871523442,139.17542223018086,199.5776612250838,101.17200794169204,80.7023522502197,58.90242875948787,83.58432844222324,41.65134023535825,29.032759497122615,22.41634863107207,29.656545018662218
2026-07-25 12:00:00,EP062026,-1,2026-07-26 06:00:00,0 days 18:00:00,18,19.61,-139.14,982.3,71.4,41.35923403830911,226.07418861430324,178.43627731025686,136.6599310349144,193.06308793258512,90.55369493306078,71.2182186624277,51.79864031813321,76.27457291199288,42.639789522364914,24.88565766996706,19.136348968379515,26.101542830298875
2026-07-25 12:00:00,EP062026,-1,2026-07-26 12:00:00,1 days 00:00:00,24,19.84,-140.28,984.6,69.0,36.10452160991583,232.6416034413227,180.0475343896251,135.10055430193307,200.85090949202794,99.61686540902299,78.52180311110769,57.67366631885287,81.84290818636919,35.90661787839866,25.05110676424842,19.342979295360827,25.343270507078017
2026-07-25 12:00:00,EP062026,-1,2026-07-26 18:00:00,1 days 06:00:00,30,20.02,-141.51,985.9,67.5,41.32655974986808,218.37556478338178,169.95573304124494,124.77255260465041,186.55896492895903,87.72152009353232,66.30308264840647,47.0388801186873,68.99542377495848,30.300203137369916,16.13971564960722,12.060361506426965,16.82464187210868
2026-07-25 12:00:00,EP062026,-1,2026-07-27 00:00:00,1 days 12:00:00,36,20.23,-142.78,987.6,67.5,39.639394361992856,219.07276366610415,165.9572338617285,118.05203286596515,186.47686703524766,79.30000159549483,54.89577742793912,36.28231662060425,58.27207434348062,25.123093136117344,12.819466059821341,9.25204203936247,13.711652493712643
2026-07-25 12:00:00,EP062026,-1,2026-07-27 06:00:00,1 days 18:00:00,42,20.4,-144.06,987.2,66.8,42.117550689738266,212.4789127759319,165.76630311300087,119.1063132872862,178.75164361058384,72.95549574378167,49.276725848212344,33.43756258485808,52.95292971859391,22.995991656730087,9.180518248753222,6.48990937908705,10.727249835325335
2026-07-25 12:00:00,EP062026,-1,2026-07-27 12:00:00,2 days 00:00:00,48,20.65,-145.43,990.3,63.1,51.38550477838865,206.7035634947839,157.95578192791436,109.6736933775678,171.55636303723398,70.6493400904439,39.379056615053294,26.33846957795294,42.10635579698292,14.843773040348305,6.853726924187798,5.20210667750847,7.2302172987071485
2026-07-25 12:00:00,EP062026,-1,2026-07-27 18:00:00,2 days 06:00:00,54,20.98,-146.87,993.6,57.6,59.83678096100949,194.82615667033693,149.7089565519595,102.40313493882357,157.17066919128803,55.60182483153511,26.558044069207703,16.280974470181704,28.613754584411808,7.618962706590209,2.8492258812631888,1.93715751081554,4.520977153837311
2026-07-25 12:00:00,EP062026,-1,2026-07-28 00:00:00,2 days 12:00:00,60,21.29,-148.17,995.1,55.7,58.895152091324825,205.17230540226205,160.1479319050926,111.79983672635483,166.2645756025625,45.84591139864671,24.58160418283059,16.173399722781603,24.79784924333444,6.996832268833898,3.153301034556402,2.193824602583725,3.689865100643006
2026-07-25 12:00:00,EP062026,-1,2026-07-28 06:00:00,2 days 18:00:00,66,21.57,-149.52,996.7,51.8,74.35527140131524,184.5429973976691,142.263566094042,97.1145870742326,145.31038646747328,37.006392255383595,18.130931935562252,12.395780519304665,17.951000387624564,5.470698193733334,2.911278215345595,2.137236847131756,3.0476234422686512
2026-07-25 12:00:00,EP062026,-1,2026-07-28 12:00:00,3 days 00:00:00,72,21.83,-150.91,1001.1,45.5,86.64849336328864,155.20209007037383,106.09699711277398,71.3369246467375,110.44948848901849,16.107442427430552,2.8999771136854466,1.939475281795194,5.554274872022732,0.495533015937459,0.16547540284794082,0.059225880970406306,1.3251969766099574
2026-07-25 12:00:00,EP062026,-1,2026-07-28 18:00:00,3 days 06:00:00,78,22.19,-152.08,1002.8,42.1,94.29410951302853,155.23891348553423,114.13170546688454,80.74059139839305,113.490159105138,6.5863249033350595,3.096370586287823,2.4907189471231233,2.8073107872020016,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP062026,-1,2026-07-29 00:00:00,3 days 12:00:00,84,22.53,-153.09,1003.4,39.7,99.65238713518706,148.53233763058654,105.27985914198452,79.15646176302104,102.37968867238938,5.553231750523341,3.857050707309417,3.1732788370447107,3.4354401881865244,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP062026,-1,2026-07-29 06:00:00,3 days 18:00:00,90,22.79,-154.2,1004.5,37.1,92.27058051991257,76.77515934238683,41.07770054965544,27.789424175559592,41.122491628932956,3.557735792501469,0.018571626460175114,0.0,0.07682223595719706,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP062026,-1,2026-07-29 12:00:00,4 days 00:00:00,96,22.94,-155.33,1005.5,35.5,96.44047310319804,71.74099969308416,37.54145194110198,26.784885826346624,36.6652703693168,0.008313809618494379,1.0109418762003342,0.004652176677260102,0.010274582227947507,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP062026,-1,2026-07-29 18:00:00,4 days 06:00:00,102,23.24,-156.36,1006.6,33.2,108.30982460541536,66.01377543420273,27.695614062928918,20.044822197166564,27.74735873330412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
