# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-08-25,CP012026,-1,2026-08-25 00:00:00,0 days 00:00:00,0,34.0,-175.25,989.9,58.8
2026-08-25,CP012026,-1,2026-08-25 06:00:00,0 days 06:00:00,6,34.32,-175.86,990.6,57.9
2026-08-25,CP012026,-1,2026-08-25 12:00:00,0 days 12:00:00,12,34.65,-176.48,991.2,56.9
2026-08-25,CP012026,-1,2026-08-25 18:00:00,0 days 18:00:00,18,34.76,-176.99,992.1,55.7
2026-08-25,CP012026,-1,2026-08-26 00:00:00,1 days 00:00:00,24,34.88,-177.5,992.9,54.4
2026-08-25,CP012026,-1,2026-08-26 06:00:00,1 days 06:00:00,30,34.98,-177.87,994.9,51.5
2026-08-25,CP012026,-1,2026-08-26 12:00:00,1 days 12:00:00,36,35.08,-178.25,996.8,48.6
2026-08-25,CP012026,-1,2026-08-26 18:00:00,1 days 18:00:00,42,35.4,-178.51,998.4,46.0
2026-08-25,CP012026,-1,2026-08-27 00:00:00,2 days 00:00:00,48,35.72,-178.78,1000.0,43.5
2026-08-25,CP012026,-1,2026-08-27 06:00:00,2 days 06:00:00,54,36.15,-179.0,1001.2,41.5
2026-08-25,CP012026,-1,2026-08-27 12:00:00,2 days 12:00:00,60,36.59,-179.22,1002.4,39.4
2026-08-25,CP012026,-1,2026-08-27 18:00:00,2 days 18:00:00,66,36.92,-179.48,1003.5,37.6
2026-08-25,CP012026,-1,2026-08-28 00:00:00,3 days 00:00:00,72,37.25,-179.74,1004.6,35.8
2026-08-25,CP012026,-1,2026-08-28 06:00:00,3 days 06:00:00,78,37.42,179.8,1006.3,32.5
2026-08-25,CP012026,-1,2026-08-28 12:00:00,3 days 12:00:00,84,37.58,179.34,1008.0,29.3
2026-08-25,CP012026,-1,2026-08-28 18:00:00,3 days 18:00:00,90,37.54,178.26,1009.4,26.5
2026-08-25,CP012026,-1,2026-08-29 00:00:00,4 days 00:00:00,96,37.61,177.34,1010.8,23.4
2026-08-25,CP012026,-1,2026-08-29 06:00:00,4 days 06:00:00,102,36.87,175.26,1008.3,27.2
2026-08-25,CP012026,-1,2026-08-29 12:00:00,4 days 12:00:00,108,36.26,173.31,1006.4,29.8
2026-08-25,CP012026,-1,2026-08-29 18:00:00,4 days 18:00:00,114,33.58,170.66,1000.7,40.0
2026-08-25,CP012026,-1,2026-08-30 00:00:00,5 days 00:00:00,120,32.12,169.33,998.4,44.0
2026-08-25,EP092026,-1,2026-08-25 00:00:00,0 days 00:00:00,0,19.5,-118.75,995.5,50.7
2026-08-25,EP092026,-1,2026-08-25 06:00:00,0 days 06:00:00,6,20.18,-119.57,994.8,51.8
2026-08-25,EP092026,-1,2026-08-25 12:00:00,0 days 12:00:00,12,20.87,-120.41,994.0,52.8
2026-08-25,EP092026,-1,2026-08-25 18:00:00,0 days 18:00:00,18,21.1,-121.36,994.1,52.7
2026-08-25,EP092026,-1,2026-08-26 00:00:00,1 days 00:00:00,24,21.32,-122.32,994.2,52.6
2026-08-25,EP092026,-1,2026-08-26 06:00:00,1 days 06:00:00,30,21.65,-123.08,995.0,51.3
2026-08-25,EP092026,-1,2026-08-26 12:00:00,1 days 12:00:00,36,21.99,-123.84,995.9,50.1
2026-08-25,EP092026,-1,2026-08-26 18:00:00,1 days 18:00:00,42,22.41,-124.71,996.5,49.1
2026-08-25,EP092026,-1,2026-08-27 00:00:00,2 days 00:00:00,48,22.81,-125.62,997.3,47.9
2026-08-25,EP092026,-1,2026-08-27 06:00:00,2 days 06:00:00,54,23.15,-126.36,998.1,46.7
2026-08-25,EP092026,-1,2026-08-27 12:00:00,2 days 12:00:00,60,23.36,-127.31,999.9,43.7
2026-08-25,WP172026,-1,2026-08-25 00:00:00,0 days 00:00:00,0,26.25,131.0,955.2,101.6
2026-08-25,WP172026,-1,2026-08-25 06:00:00,0 days 06:00:00,6,26.64,130.04,961.1,94.8
2026-08-25,WP172026,-1,2026-08-25 12:00:00,0 days 12:00:00,12,27.02,129.06,967.1,88.0
2026-08-25,WP172026,-1,2026-08-25 18:00:00,0 days 18:00:00,18,27.56,128.2,967.2,87.9
2026-08-25,WP172026,-1,2026-08-26 00:00:00,1 days 00:00:00,24,28.09,127.32,967.3,87.8
2026-08-25,WP172026,-1,2026-08-26 06:00:00,1 days 06:00:00,30,28.24,126.48,968.2,86.7
2026-08-25,WP172026,-1,2026-08-26 12:00:00,1 days 12:00:00,36,28.38,125.63,969.1,85.6
2026-08-25,WP172026,-1,2026-08-26 18:00:00,1 days 18:00:00,42,28.35,125.08,970.7,83.7
