# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-09-20,AL062026,-1,2026-09-20 00:00:00,0 days 00:00:00,0,33.1,-33.3,1007.0,29.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-20 06:00:00,0 days 06:00:00,6,33.6,-33.3,1002.9,41.7,55.09890689735602,72.77299628322854,50.674514490398934,29.000142720420925,39.367144322203714,1.3716893923735602,1.3664464572248067,0.46671523361692224,0.5710920842715395,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-20 12:00:00,0 days 12:00:00,12,33.95,-33.1,997.2,52.0,35.544543991538546,92.16891706525718,81.92087896345602,50.91159797480302,62.79937082885141,22.46638587828322,18.734134237791647,12.259625570069453,14.547844644627741,2.119197449646551,1.4953290929850567,1.2120562274955669,1.3641873851027555
2026-09-20,AL062026,-1,2026-09-20 18:00:00,0 days 18:00:00,18,34.27,-32.77,991.9,59.4,29.5264689893131,92.6815719491566,95.94589775692016,61.54479028438418,65.79348483126606,21.42524936112901,28.070480870514157,11.125831098282866,12.740860684930256,4.863572847076334,2.8208230833054095,1.6571684008462026,1.843263081506708
2026-09-20,AL062026,-1,2026-09-21 00:00:00,1 days 00:00:00,24,34.31,-32.36,991.9,57.8,31.95970856184839,97.43094498853456,101.13873479612285,79.2556496993787,77.64149051747916,25.61024734020608,30.901456438734684,17.682428248660617,18.704257444326085,4.16957070948782,3.5452504760232717,2.1585319634029765,2.1428530245044812
2026-09-20,AL062026,-1,2026-09-21 06:00:00,1 days 06:00:00,30,34.13,-32.14,997.4,50.5,48.90641188679853,100.88232858782766,97.09075527863368,82.58772538761885,86.09598602434158,10.682280459378516,23.199585662983537,5.826864337121349,6.192357345252592,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-21 12:00:00,1 days 12:00:00,36,33.77,-32.04,1000.6,47.0,47.523340044222266,72.76928772121518,60.500793691326614,58.210673168828535,69.25649267254907,9.536571011097532,5.286444752097489,2.829176234986393,4.28587018591026,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-21 18:00:00,1 days 18:00:00,42,33.42,-32.21,1003.6,42.3,64.13792682763277,77.34074040328551,55.29003688959781,50.093707453896585,66.09471868894553,7.815749134458131,0.5029714947680486,1.9104828053109384,0.4359736859421887,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-22 00:00:00,2 days 00:00:00,48,32.7,-32.6,1005.3,40.7,72.42742176275297,71.49760835595877,41.74999168672422,35.50405880498323,63.668055568957506,4.065472183384261,0.13955749227038125,0.08480628243022138,0.14652750181021745,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-22 06:00:00,2 days 06:00:00,54,32.11,-33.23,1007.3,36.5,78.02107209208883,49.219199876496994,27.07993741839123,22.998244075497656,42.58863348645537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-22 12:00:00,2 days 12:00:00,60,31.48,-34.01,1008.9,34.2,76.80807233970356,40.112612688798016,23.764594012754745,18.22372794225193,35.53967228872525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-22 18:00:00,2 days 18:00:00,66,31.04,-34.79,1009.0,32.5,80.72626824397676,20.696948916906855,9.584932909391984,7.732860371973826,17.067909363148217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-23 00:00:00,3 days 00:00:00,72,30.47,-35.73,1010.4,30.5,89.88539041152735,12.392112444594463,4.151936939186852,2.425922627742896,6.768570012156531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-23 06:00:00,3 days 06:00:00,78,30.14,-36.58,1010.2,29.6,89.24018169173176,7.8471033997935695,2.115989933004671,0.11678556659702352,0.7576262853804452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-23 12:00:00,3 days 12:00:00,84,29.7,-37.52,1010.2,29.3,88.51150946944327,11.42735084223337,6.685909165047959,5.342027572636707,6.46445743339515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-23 18:00:00,3 days 18:00:00,90,29.4,-38.34,1010.5,28.5,87.86095034283142,2.1596591630250725,0.16571024572196183,0.0,0.4910806381537982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-24 00:00:00,4 days 00:00:00,96,29.07,-39.34,1010.6,29.1,94.65418367233396,8.176514168128392,2.274590094188349,1.6475246193802278,4.294269009842528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-24 06:00:00,4 days 06:00:00,102,28.98,-40.16,1011.1,28.9,93.70768193437442,8.180679793138761,1.9506390248619159,0.44715355472161444,3.329083987158002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-24 12:00:00,4 days 12:00:00,108,29.03,-40.94,1010.7,28.7,95.10838933926634,12.038479152515224,0.7194549948215003,0.05607491047836888,1.008806016409904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-24 18:00:00,4 days 18:00:00,114,29.22,-41.6,1010.7,27.7,92.16571119204096,5.886914474802405,0.05745895687762896,0.0,0.20157973763163448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,AL062026,-1,2026-09-25 00:00:00,5 days 00:00:00,120,29.32,-42.23,1011.4,28.5,88.86939276703632,10.844777590391377,4.502383432503633,2.8011825363468885,4.395642306619057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,EP152026,-1,2026-09-20 00:00:00,0 days 00:00:00,0,15.3,-141.5,1007.0,25.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,EP982026,-1,2026-09-20 00:00:00,0 days 00:00:00,0,11.3,-123.5,1008.0,25.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-20,EP982026,-1,2026-09-20 06:00:00,0 days 06:00:00,6,10.67,-124.36,1004.7,35.5,88.35596945502299,35.051853035653544,18.99984626325223,12.978715499622014,17.85107060555006,0.015342999363262886,0.012877573962171016,0.020044922833783545,2.452867468636846,0.0,0.0,0.0,0.0
2026-09-20,EP982026,-1,2026-09-20 12:00:00,0 days 12:00:00,12,10.9,-125.03,1000.9,42.4,67.12423381994846,78.30092055918654,51.67026818364322,36.1451799463106,48.55053646387163,4.925415985007865,0.7261268561193012,0.4150610840167659,0.7131172938578921,0.0,0.0,0.0,0.0
2026-09-20,EP982026,-1,2026-09-20 18:00:00,0 days 18:00:00,18,11.48,-125.89,999.5,47.4,58.49045467391922,116.97001061602951,93.65512759219234,60.02177518631589,85.73790995732614,15.426944039168369,6.079713450989924,3.0300213784182666,4.564057981204054,0.0074557713448799535,1.1391387094352066,0.003362817390212147,0.004135193397824661
2026-09-20,EP982026,-1,2026-09-21 00:00:00,1 days 00:00:00,24,12.23,-126.75,997.5,51.4,50.833131835395825,125.4392067480423,99.70708724062436,63.58353680526782,90.53410421364687,28.757198577915503,13.532318412942244,8.47523249958862,13.000767360221086,2.3518293025326535,0.45799594844224983,0.25660339579792374,0.44195048321024594
2026-09-20,EP982026,-1,2026-09-21 06:00:00,1 days 06:00:00,30,13.0,-127.47,994.2,56.2,50.00409548930292,135.8922123528685,111.63239332900343,71.75352893328368,101.2579868722746,34.916507108696194,18.09779711508734,10.476502014045378,16.013440472886945,5.365025731790215,1.444964427528637,0.8527935179873561,1.6014185368032
